click_rate,products_purchased,profile,gender,contract_type,age,location,income_level,device_type,plan_type,churn_status,avg__monthly_spend,preferred_communication_channel,contract_start_date,customer_satisfaction_score
-0.0058906705245572585,1.2191123342607924,1,1,0,0.4311550096242796,2.080378042025535,-1.4302633841342607,-0.005340615983242449,1,0,1.575928726170832,1.229335046193604,-0.49155372051525287,1.7334745376346659
1.2213323554248932,1.2191123342607924,1,1,0,-0.16570947695817562,-1.545707133994267,1.5034597770046771,-1.2330684282228646,0,0,0.17472953868009497,0.004470754664082804,1.3140825976033095,-0.33791222764215934
-0.0058906705245572585,-1.2208202870957416,1,0,0,0.7627463910589769,-0.8948713331701998,0.7700289867199428,1.2223871962563797,1,0,0.8753291324254635,-1.2203935368654384,-1.2660766674976889,0.35255002745011577
1.2213323554248932,-0.0008539764174746928,0,0,1,-1.492075002696965,-0.058082446396399305,0.03659819643520829,-1.2330684282228646,1,1,0.17472953868009497,1.229335046193604,-0.3727618574811369,-1.373605610280572
-0.0058906705245572585,-1.2208202870957416,0,0,0,0.09956362818958225,-1.0808244191199332,-1.4302633841342607,-0.005340615983242449,1,0,-0.17557025819258928,0.004470754664082804,-1.6390831174248128,0.6977811549962534
-0.0058906705245572585,1.2191123342607924,0,0,1,0.4311550096242796,0.22084718252820085,-1.4302633841342607,-1.2330684282228646,0,0,-1.5767694456833263,1.229335046193604,-0.12567478237017574,1.3882434100885284
1.2213323554248932,-1.2208202870957416,1,1,0,0.5637915621981585,-0.058082446396399305,0.03659819643520829,-0.005340615983242449,0,0,0.5250293355527792,0.004470754664082804,-0.3109900887033966,0.00731889990397823
-0.0058906705245572585,1.2191123342607924,1,0,0,1.492247430215311,-0.801894790195333,1.5034597770046771,1.2223871962563797,0,0,0.17472953868009497,0.004470754664082804,1.5017737411972127,1.3882434100885284
-0.0058906705245572585,-1.2208202870957416,1,0,1,0.5637915621981585,1.522518784176335,1.5034597770046771,1.2223871962563797,0,0,1.2256289292981477,1.229335046193604,-1.289835040104512,0.35255002745011577
-0.0058906705245572585,-1.2208202870957416,1,0,1,0.6964281147720375,2.080378042025535,0.7700289867199428,1.2223871962563797,0,1,0.17472953868009497,0.004470754664082804,-0.6388556306775566,-0.6831433551882968
1.2213323554248932,1.2191123342607924,0,0,1,1.1606560487806137,0.499776811452801,-0.6968325938495261,1.2223871962563797,0,0,-0.17557025819258928,1.229335046193604,-1.251821643933595,0.35255002745011577
-0.0058906705245572585,-0.0008539764174746928,0,1,0,-1.359438450123086,-0.8948713331701998,1.5034597770046771,1.2223871962563797,1,0,-0.8761698519379578,-1.2203935368654384,1.6134380924492817,0.00731889990397823
-0.0058906705245572585,-0.0008539764174746928,0,0,1,1.5585657065022507,-0.24403553234613276,-0.6968325938495261,-0.005340615983242449,0,0,-0.8761698519379578,-1.2203935368654384,1.4851428803724365,-1.0283744827344343
1.2213323554248932,-1.2208202870957416,0,0,0,0.4311550096242796,-0.24403553234613276,-1.4302633841342607,1.2223871962563797,0,1,-0.17557025819258928,0.004470754664082804,-0.42978195173751255,-0.6831433551882968
1.2213323554248932,1.2191123342607924,0,0,0,-1.492075002696965,-0.4299886182958662,0.03659819643520829,-1.2330684282228646,0,0,1.2256289292981477,0.004470754664082804,0.44452616019358077,1.7334745376346659
-0.0058906705245572585,-1.2208202870957416,1,0,1,0.9617012199197954,0.8716829833522679,0.03659819643520829,-0.005340615983242449,0,0,-1.2264696488106421,1.229335046193604,-0.7196340975407555,0.35255002745011577
1.2213323554248932,-0.0008539764174746928,0,0,0,-0.8288922398275703,0.499776811452801,0.7700289867199428,-0.005340615983242449,1,0,1.2256289292981477,-1.2203935368654384,-1.3539826461429345,-1.0283744827344343
1.2213323554248932,-0.0008539764174746928,0,0,1,1.2932926013544928,0.3138237255030676,-0.6968325938495261,1.2223871962563797,0,1,-1.5767694456833263,0.004470754664082804,-1.5392979524761554,-0.6831433551882968
1.2213323554248932,-0.0008539764174746928,0,0,1,0.2322001807634612,-0.7089182472204664,0.03659819643520829,1.2223871962563797,0,0,-0.17557025819258928,-1.2203935368654384,-1.2066807359806309,0.6977811549962534
